company,role,applied_date,date_precision,outcome,outcome_date,channel,evidence_tier,stratum,source
AI Digital,Growth Director,2026-07-24,exact,rejected_no_interview,2026-07-27,apply4me,A,gmail/ATS,logs 010;015
Lattice,GTM Engineer,2026-07-24,exact,role_paused_or_closed,2026-08-04,apply4me,A,gmail/ATS,logs 010;015;018
Doomers AI,Founding GTM,2026-07-26,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-105 · net_new
Fractional Demand,GTM Engineer,2026-07-26,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-104 · net_new
Tripleseat,GTM Engineer,2026-08-06,exact,no_response,,hirebridge,A,gmail/ATS,logs 010;014
Mercor,Sales and Marketing Expert,2026-08-18,exact,converted_to_contract,2026-08-21,mercor,A,gmail/ATS,logs 010;014 · contract activated 2026-08-21
Mercor,Sales Engineering Expert,2026-08-18,exact,rejected_no_interview,2026-08-25,mercor,A,gmail/ATS,logs 010;014
Mercor,B2B Sales Expert,2026-08-18,exact,rejected_no_interview,2026-08-25,mercor,A,gmail/ATS,logs 010;014
Uncapped,GTM Engineer,2026-08-22,exact,rejected_no_interview,2026-08-25,workable,A,gmail/ATS,logs 010
Agroknow,North America Sales,,unknown,unknown,2025-11-25,email_direct,B,gmail/ATS,logs 004
AnyInt AI,unspecified,,unknown,unknown,2026-06-09,linkedin,B,gmail/ATS,logs 008
Beckhoff Automation,Sales Engineer,,unknown,rejected_no_interview,2025-08-08,paycom,A,gmail/ATS,logs 019
Bluejay,Founding GTM,,unknown,rejected_after_interview,2026-07-23,unknown,A,gmail/ATS,logs 018;020
Built Recruiting,GTM Engineer,,unknown,role_paused_or_closed,2026-04-16,greenhouse,A,gmail/ATS,logs 009
Celonis,unspecified,,unknown,unknown,,greenhouse,B,gmail/ATS,logs 005
ClassDojo,unspecified,,unknown,unknown,2025-08-08,gem,B,gmail/ATS,logs 001
Classet,Head of GTM,,unknown,rejected_no_interview,2025-07-09,wellfound,A,gmail/ATS,logs 003
DeKalb County School District,STAR Substitute (11 schools),,unknown,role_paused_or_closed,2026-08-11,applitrack,A,gmail/ATS,logs 014;015
Drata,SDR Remote,,unknown,unknown,2025-06-16,greenhouse,A,gmail/ATS,logs 003
Every,GTM Engineer,,unknown,interview_scheduled,2026-04-20,unknown,A,gmail/ATS,logs 020;022
Fullsteam,Senior Sales Development Representative,,unknown,unknown,2025-09-29,workday,A,gmail/ATS,logs 001
Galileo,GTM Engineer,,unknown,unknown,2025-07-28,rippling,A,gmail/ATS,logs 002
Gong.io,unspecified,,unknown,unknown,,email_direct,B,gmail/ATS,logs 003
