application_id,company_canonical,discovery_source_coded,discovery_source_recalled,discovery_source_resolved,basis,conflict,root_venue,interviewed
practical-prospecting|unspecified|c1,Practical Prospecting,unknown,,unknown,none,no,unknown,no
primer|unspecified|c1,Primer,unknown,,unknown,none,no,unknown,no
productboard|associate-gtm-engineer|c1,Productboard,unknown,,unknown,none,no,unknown,no
proofpoint|unspecified|c1,Proofpoint,unknown,,unknown,none,no,unknown,no
proteantecs|sdr|c1,proteanTecs,unknown,,unknown,none,no,unknown,no
redis|gtm-engineer|c1,Redis,unknown,,unknown,none,no,unknown,no
replit|sales-engineer|c1,Replit,unknown,,unknown,none,no,unknown,no
revic|founding-gtm-ai-engineer|c1,Revic,unknown,,unknown,none,no,unknown,no
revpartners|gtm-engineer|c1,RevPartners,unknown,,unknown,none,no,unknown,no
roboflow|revops-gtm-engineer|c1,Roboflow,unknown,,unknown,none,no,unknown,no
rollstack|ai-growth-hacker|c1,Rollstack,unknown,,unknown,none,no,unknown,no
rula|gtm-engineer-remote|c1,Rula,unknown,,unknown,none,no,unknown,no
runway|go-to-market-ai-engineer|c1,Runway,unknown,,unknown,none,no,unknown,no
sage|director-of-growth-small|c1,Sage,unknown,,unknown,none,no,unknown,no
sailpoint|account-exec-enterprise-accounts|c1,SailPoint,unknown,,unknown,none,no,unknown,no
sardine|gtm-engineer|c1,Sardine,unknown,,unknown,none,no,unknown,no
scaleops|sales-engineer-usa|c1,ScaleOps,unknown,,unknown,none,no,unknown,no
scribe|unspecified|c1,Scribe,unknown,,unknown,none,no,unknown,no
seamless-ai|sdr-remote-us|c1,Seamless.AI,unknown,,unknown,none,no,unknown,no
sentilink|go-to-market-strategy-analyst|c1,SentiLink,unknown,,unknown,none,no,unknown,no
servicetrade|unspecified|c1,ServiceTrade,unknown,,unknown,none,no,unknown,no
shaped|founding-sdr|c1,Shaped,unknown,,unknown,none,no,unknown,no
slingshot-ai|conversation-designer|c1,Slingshot AI,unknown,,unknown,none,no,unknown,no
smeetz|gtm-engineer|c1,Smeetz,unknown,,unknown,none,no,unknown,no
solv-health|unspecified|c1,Solv Health,unknown,,unknown,none,no,unknown,no
speechify|go-to-market-engineer-atlanta|c1,Speechify,unknown,,unknown,none,no,unknown,no
